clinical_status,compound_id,indication_id,max_phase,source_doc_id
preclinical,CHEMBL522892,mesh_d013964,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d001943,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d064129,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d016889,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d006623,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d046152,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d009369,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d010673,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d001932,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d005909,0,chembl:CHEMBL522892
preclinical,CHEMBL52333,mesh_d006333,0,chembl:CHEMBL52333
preclinical,CHEMBL52939,mesh_d058729,0,chembl:CHEMBL52939
preclinical,CHEMBL52939,mesh_d002544,0,chembl:CHEMBL52939
preclinical,CHEMBL5314374,mesh_d020246,0,chembl:CHEMBL5314374
preclinical,CHEMBL5314374,mesh_d001281,0,chembl:CHEMBL5314374
preclinical,CHEMBL5314374,mesh_d011655,0,chembl:CHEMBL5314374
preclinical,CHEMBL5314776,mesh_d009765,0,chembl:CHEMBL5314776
preclinical,CHEMBL5314776,mesh_d065626,0,chembl:CHEMBL5314776
preclinical,CHEMBL53366,mesh_d053201,0,chembl:CHEMBL53366
preclinical,CHEMBL53366,mesh_d014549,0,chembl:CHEMBL53366
preclinical,CHEMBL53366,mesh_d011141,0,chembl:CHEMBL53366
preclinical,CHEMBL545315,mesh_d002289,0,chembl:CHEMBL545315
preclinical,CHEMBL545315,mesh_d001943,0,chembl:CHEMBL545315
preclinical,CHEMBL545315,mesh_d008175,0,chembl:CHEMBL545315
preclinical,CHEMBL562668,mesh_d009765,0,chembl:CHEMBL562668
preclinical,CHEMBL57242,mesh_d006973,0,chembl:CHEMBL57242
preclinical,CHEMBL57242,mesh_d003920,0,chembl:CHEMBL57242
preclinical,CHEMBL57242,mesh_d000075222,0,chembl:CHEMBL57242
preclinical,CHEMBL57242,mesh_d003924,0,chembl:CHEMBL57242
preclinical,CHEMBL57242,mesh_d045169,0,chembl:CHEMBL57242
preclinical,CHEMBL572881,mesh_d002289,0,chembl:CHEMBL572881
preclinical,CHEMBL572881,mesh_d001943,0,chembl:CHEMBL572881
preclinical,CHEMBL589583,mesh_d002318,0,chembl:CHEMBL589583
preclinical,CHEMBL589583,mesh_d006973,0,chembl:CHEMBL589583
preclinical,CHEMBL592054,mesh_d003920,0,chembl:CHEMBL592054
preclinical,CHEMBL592445,mesh_d016889,0,chembl:CHEMBL592445
preclinical,CHEMBL592445,mesh_d015470,0,chembl:CHEMBL592445
preclinical,CHEMBL592445,mesh_d009190,0,chembl:CHEMBL592445
preclinical,CHEMBL592445,mesh_d002289,0,chembl:CHEMBL592445
preclinical,CHEMBL592445,mesh_d001943,0,chembl:CHEMBL592445
preclinical,CHEMBL592445,mesh_d009369,0,chembl:CHEMBL592445
preclinical,CHEMBL595573,mesh_d009765,0,chembl:CHEMBL595573
preclinical,CHEMBL595573,mesh_d012559,0,chembl:CHEMBL595573
preclinical,CHEMBL596802,mesh_d000690,0,chembl:CHEMBL596802
preclinical,CHEMBL596802,mesh_d010300,0,chembl:CHEMBL596802
preclinical,CHEMBL596802,mesh_d006816,0,chembl:CHEMBL596802
preclinical,CHEMBL603469,mesh_d015470,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d007938,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d011565,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d013920,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d009447,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d009101,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d011087,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d064129,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d055728,0,chembl:CHEMBL603469
preclinical,CHEMBL603469,mesh_d054198,0,chembl:CHEMBL603469
preclinical,CHEMBL6068614,mesh_d013927,0,chembl:CHEMBL6068614
preclinical,CHEMBL61780,mesh_d006976,0,chembl:CHEMBL61780
preclinical,CHEMBL61780,mesh_d006333,0,chembl:CHEMBL61780
preclinical,CHEMBL74355,mesh_d003866,0,chembl:CHEMBL74355
preclinical,CHEMBL74355,mesh_d012893,0,chembl:CHEMBL74355
preclinical,CHEMBL84158,mesh_d001007,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d003704,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d005879,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d011618,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d003866,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d012559,0,chembl:CHEMBL84158
preclinical,CHEMBL84158,mesh_d013981,0,chembl:CHEMBL84158
preclinical,CHEMBL103667,mesh_d011565,0,chembl:CHEMBL103667
preclinical,CHEMBL103667,mesh_d001172,0,chembl:CHEMBL103667
preclinical,CHEMBL105442,mesh_d002289,0,chembl:CHEMBL105442
preclinical,CHEMBL105442,mesh_d010190,0,chembl:CHEMBL105442
