compound_id,confidence,context_type,mention_count,paper_id
CHEMBL189963,1.0,abstract,1,34771669
CHEMBL1201631,1.0,abstract,1,37056675
CHEMBL5314341,1.0,abstract,1,37056675
CHEMBL3301610,1.0,abstract,1,39636239
CHEMBL189963,1.0,abstract,1,34458177
CHEMBL3301610,1.0,abstract,1,33535617
CHEMBL189963,1.0,abstract,1,33535617
CHEMBL3545110,1.0,abstract,1,33535617
CHEMBL189963,1.0,abstract,1,38670537
CHEMBL3545110,1.0,abstract,1,38670537
CHEMBL3301610,1.0,abstract,1,38670537
CHEMBL3301610,1.0,abstract,1,32103527
CHEMBL189963,1.0,abstract,1,32103527
CHEMBL53463,1.0,abstract,1,32924840
CHEMBL189963,1.0,abstract,1,34099663
CHEMBL3545110,1.0,abstract,1,34099663
CHEMBL3301610,1.0,abstract,1,34099663
CHEMBL601719,1.0,abstract,1,39686857
CHEMBL189963,1.0,abstract,1,35197447
CHEMBL413,1.0,abstract,1,37415733
CHEMBL521686,1.0,abstract,1,37415733
CHEMBL189963,1.0,abstract,1,37734383
CHEMBL189963,1.0,abstract,1,32040545
CHEMBL386630,1.0,abstract,1,37427330
CHEMBL1336,1.0,abstract,1,38084512
CHEMBL189963,1.0,abstract,1,37872167
CHEMBL189963,1.0,abstract,1,34654798
CHEMBL189963,1.0,abstract,1,32860163
CHEMBL3301610,1.0,abstract,1,32860163
CHEMBL3301610,1.0,abstract,1,37234717
CHEMBL83527,1.0,abstract,1,33047871
CHEMBL1336,1.0,abstract,1,33047871
CHEMBL384467,1.0,abstract,1,31955154
CHEMBL1091644,1.0,abstract,1,37435490
CHEMBL1201631,1.0,abstract,1,37435490
CHEMBL59,1.0,abstract,1,39700873
CHEMBL39,1.0,abstract,1,39700873
CHEMBL1200761,1.0,abstract,1,33904577
CHEMBL3301589,1.0,abstract,1,37485038
CHEMBL413,1.0,abstract,1,40446543
CHEMBL1976040,1.0,abstract,1,36378528
CHEMBL1201631,1.0,abstract,1,37691519
CHEMBL301982,1.0,abstract,1,40050778
CHEMBL1311,1.0,abstract,1,40050778
CHEMBL428690,1.0,abstract,1,40332418
CHEMBL14762,1.0,abstract,1,40332418
CHEMBL50894,1.0,abstract,1,40332418
CHEMBL2108658,1.0,abstract,1,37732122
CHEMBL3183409,1.0,abstract,1,37732122
CHEMBL1201631,1.0,abstract,1,37732122
CHEMBL189963,1.0,abstract,1,39657117
CHEMBL2103840,1.0,abstract,1,35723742
CHEMBL1976040,1.0,abstract,1,38143493
CHEMBL14762,1.0,abstract,1,31746435
CHEMBL3137309,1.0,abstract,1,35857899
CHEMBL3301622,1.0,abstract,1,35857899
CHEMBL3707227,1.0,abstract,1,39732370
CHEMBL189963,1.0,abstract,1,39732370
CHEMBL1336,1.0,abstract,1,35987150
CHEMBL4650374,1.0,abstract,2,36048524
CHEMBL2103830,1.0,abstract,1,39756165
CHEMBL8260,1.0,abstract,1,34233076
CHEMBL428690,1.0,abstract,1,34233076
CHEMBL1976040,1.0,abstract,1,37724648
CHEMBL28,1.0,abstract,1,34064109
CHEMBL2103840,1.0,abstract,1,32816920
CHEMBL521686,1.0,abstract,1,38030179
CHEMBL413,1.0,abstract,1,34024231
CHEMBL608533,1.0,abstract,1,35159005
CHEMBL402548,1.0,abstract,1,35159005
CHEMBL103,1.0,abstract,1,41255101
CHEMBL1230607,1.0,abstract,1,34156352
CHEMBL53463,1.0,abstract,1,36142807
CHEMBL603469,1.0,abstract,1,36142807
CHEMBL1983268,1.0,abstract,1,36142807
CHEMBL601719,1.0,abstract,1,36142807
CHEMBL31574,1.0,abstract,1,37743465
CHEMBL150,1.0,abstract,1,36083512
CHEMBL1201631,1.0,abstract,1,37180667
CHEMBL1976040,1.0,abstract,1,38020882
CHEMBL49120,1.0,abstract,1,38020882
CHEMBL4285417,1.0,abstract,1,38020882
CHEMBL574737,1.0,abstract,1,38020882
CHEMBL1976040,1.0,abstract,1,31735695
CHEMBL521686,1.0,abstract,1,31735695
CHEMBL667,1.0,abstract,1,35920260
CHEMBL3707227,1.0,abstract,1,34168048
CHEMBL521686,1.0,abstract,1,34168048
CHEMBL28,1.0,abstract,1,35729325
CHEMBL1276308,1.0,abstract,1,31814282
CHEMBL189963,1.0,abstract,1,34611473
CHEMBL521686,1.0,abstract,1,34206543
CHEMBL506871,1.0,abstract,1,34206543
CHEMBL140,1.0,abstract,1,36597703
CHEMBL1200511,1.0,abstract,1,36476625
CHEMBL4208229,1.0,abstract,1,36485117
CHEMBL521686,1.0,abstract,1,33119476
CHEMBL413,1.0,abstract,1,39855202
CHEMBL5416410,1.0,abstract,1,36525117
CHEMBL521686,1.0,abstract,2,40192953
CHEMBL3137320,1.0,abstract,1,40192953
CHEMBL3137318,1.0,abstract,1,40192953
CHEMBL2396661,1.0,abstract,2,40192953
CHEMBL2325741,1.0,abstract,1,40192953
CHEMBL53463,1.0,abstract,1,36400926
CHEMBL189963,1.0,abstract,1,36400926
CHEMBL3137309,1.0,abstract,1,36400926
CHEMBL45,1.0,abstract,1,36830601
CHEMBL1201631,1.0,abstract,1,36830601
CHEMBL465,1.0,abstract,1,36830601
CHEMBL3137309,1.0,abstract,1,39894894
CHEMBL521686,1.0,abstract,1,33044685
CHEMBL1082407,1.0,abstract,1,33044685
CHEMBL254328,1.0,abstract,1,33044685
CHEMBL15848,1.0,abstract,1,40172080
CHEMBL3137343,1.0,abstract,1,35111894
CHEMBL44657,1.0,abstract,1,35111894
CHEMBL189963,1.0,abstract,1,39903505
CHEMBL53463,1.0,abstract,1,32863904
CHEMBL140,1.0,abstract,1,39749050
CHEMBL53463,1.0,abstract,1,39749050
CHEMBL521686,1.0,abstract,1,41532283
CHEMBL1094636,1.0,abstract,1,39640282
CHEMBL1201631,1.0,abstract,1,36678512
CHEMBL4112930,1.0,abstract,1,34287805
CHEMBL521686,1.0,abstract,1,39187844
CHEMBL554,1.0,abstract,1,36678540
CHEMBL4303201,1.0,abstract,1,39905539
CHEMBL1200689,1.0,abstract,1,39908987
CHEMBL521686,1.0,abstract,1,39655996
CHEMBL1094636,1.0,abstract,1,39655996
CHEMBL3137320,1.0,abstract,1,39655996
CHEMBL521686,1.0,abstract,1,38336156
CHEMBL1094636,1.0,abstract,1,38336156
CHEMBL112,1.0,abstract,1,38649362
CHEMBL3916243,1.0,abstract,1,38497071
CHEMBL53463,1.0,abstract,1,35801486
CHEMBL941,1.0,abstract,1,35801486
CHEMBL1336,1.0,abstract,1,35815597
CHEMBL521686,1.0,abstract,1,40773674
CHEMBL521686,1.0,abstract,1,40306238
CHEMBL4298024,1.0,abstract,1,39929671
CHEMBL3989931,1.0,abstract,1,35972551
CHEMBL1201631,1.0,abstract,1,36513699
CHEMBL521686,1.0,abstract,1,39655075
CHEMBL521686,1.0,abstract,1,34529761
CHEMBL1094636,1.0,abstract,1,34529761
CHEMBL506871,1.0,abstract,1,34529761
CHEMBL3137320,1.0,abstract,1,34529761
CHEMBL413,1.0,abstract,1,36125981
CHEMBL408513,1.0,abstract,3,37541175
CHEMBL1094636,1.0,abstract,1,41581148
CHEMBL521686,1.0,abstract,1,37271214
CHEMBL1200604,1.0,abstract,1,36221902
CHEMBL521686,1.0,abstract,1,40387570
CHEMBL4802152,1.0,abstract,1,40021124
CHEMBL1094636,1.0,abstract,1,40021124
CHEMBL521686,1.0,abstract,1,40021124
CHEMBL521686,1.0,abstract,1,39444180
CHEMBL521686,1.0,abstract,1,41796924
CHEMBL3577124,1.0,abstract,1,39945510
CHEMBL1201631,1.0,abstract,1,39948141
CHEMBL521686,1.0,abstract,1,33808340
CHEMBL521686,1.0,abstract,1,32779949
CHEMBL1201631,1.0,abstract,1,36265585
CHEMBL3545347,1.0,abstract,1,36265585
CHEMBL96,1.0,abstract,1,36265585
CHEMBL1201631,1.0,abstract,1,41692245
CHEMBL521686,1.0,abstract,1,41739621
CHEMBL3590106,1.0,abstract,1,41739621
CHEMBL521686,1.0,abstract,1,39836501
CHEMBL521686,1.0,abstract,1,36622760
CHEMBL521686,1.0,abstract,1,35862693
CHEMBL18442,1.0,abstract,1,36209974
CHEMBL521686,1.0,abstract,1,36209974
CHEMBL941,1.0,abstract,1,39981588
CHEMBL44657,1.0,abstract,1,35097256
CHEMBL521686,1.0,abstract,1,35332131
CHEMBL3647420,1.0,abstract,1,36457011
CHEMBL521686,1.0,abstract,1,37880048
CHEMBL1094636,1.0,abstract,1,37880048
CHEMBL3137320,1.0,abstract,1,37880048
CHEMBL2010601,1.0,abstract,2,39996840
CHEMBL521686,1.0,abstract,1,39215404
CHEMBL506871,1.0,abstract,1,39215404
CHEMBL413,1.0,abstract,1,32046043
CHEMBL103,1.0,abstract,1,40036901
CHEMBL1479,1.0,abstract,1,40036901
CHEMBL521686,1.0,abstract,1,35886427
CHEMBL1094636,1.0,abstract,1,35886427
CHEMBL150,1.0,abstract,1,40004956
CHEMBL506871,1.0,abstract,1,31650446
CHEMBL521686,1.0,abstract,1,35430559
CHEMBL1069,1.0,abstract,1,36594276
CHEMBL4112930,1.0,abstract,2,34906277
CHEMBL53463,1.0,abstract,1,34906277
CHEMBL1094636,1.0,abstract,1,36786286
CHEMBL521686,1.0,abstract,1,38776379
CHEMBL1094636,1.0,abstract,1,40243501
CHEMBL1094636,1.0,abstract,1,40745521
CHEMBL521686,1.0,abstract,1,41641786
CHEMBL3137343,1.0,abstract,1,36799315
CHEMBL1983268,1.0,abstract,1,36799315
CHEMBL4298124,1.0,abstract,2,36799315
CHEMBL275638,1.0,abstract,1,37919954
CHEMBL28,1.0,abstract,1,34404206
CHEMBL63354,1.0,abstract,1,34404206
CHEMBL4112930,1.0,abstract,2,33264017
CHEMBL1094636,1.0,abstract,1,34363200
CHEMBL521686,1.0,abstract,1,32029902
CHEMBL1094636,1.0,abstract,1,40473279
CHEMBL3137343,1.0,abstract,1,40473279
CHEMBL1201585,1.0,abstract,1,40473279
CHEMBL4297844,1.0,abstract,1,40473279
CHEMBL521686,1.0,abstract,1,34461785
CHEMBL4297951,1.0,abstract,3,33962291
CHEMBL6068492,1.0,abstract,1,33962291
CHEMBL4112930,1.0,abstract,1,32652442
CHEMBL521686,1.0,abstract,1,32652442
CHEMBL1201631,1.0,abstract,1,35752994
CHEMBL1094636,1.0,abstract,2,32073931
CHEMBL3989922,1.0,abstract,1,32073931
CHEMBL2386889,1.0,abstract,1,32073931
CHEMBL1976040,1.0,abstract,1,32073931
CHEMBL1094636,1.0,abstract,1,32509471
CHEMBL4112930,1.0,abstract,2,35938683
CHEMBL3707227,1.0,abstract,1,40308191
CHEMBL4112930,1.0,abstract,1,40228437
CHEMBL1094636,1.0,abstract,1,40228437
CHEMBL112,1.0,abstract,1,34219507
CHEMBL1079175,1.0,abstract,1,40452781
CHEMBL44657,1.0,abstract,1,39713673
CHEMBL535,1.0,abstract,1,35973976
CHEMBL1094636,1.0,abstract,1,32811446
CHEMBL3137320,1.0,abstract,1,32811446
CHEMBL3707227,1.0,abstract,1,32579975
CHEMBL3137343,1.0,abstract,1,36058143
CHEMBL3218576,1.0,abstract,1,37721526
CHEMBL3707227,1.0,abstract,1,37716115
CHEMBL396778,1.0,abstract,1,36162779
CHEMBL3301587,1.0,abstract,1,30839322
CHEMBL1166,1.0,abstract,1,40766868
CHEMBL3707227,1.0,abstract,1,37731022
CHEMBL44657,1.0,abstract,1,37731022
CHEMBL3137343,1.0,abstract,1,36257537
CHEMBL4298124,1.0,abstract,2,36257537
CHEMBL2108738,1.0,abstract,1,41159031
CHEMBL1789844,1.0,abstract,1,41159031
CHEMBL3301587,1.0,abstract,1,41159031
CHEMBL2108658,1.0,abstract,1,41159031
CHEMBL2108738,1.0,abstract,1,36306792
CHEMBL3301589,1.0,abstract,1,32406880
CHEMBL3707227,1.0,abstract,1,38497358
CHEMBL1200689,1.0,abstract,1,35276636
CHEMBL2108738,1.0,abstract,1,37956967
CHEMBL3137343,1.0,abstract,1,37956967
CHEMBL1789844,1.0,abstract,1,37956967
CHEMBL59,1.0,abstract,1,36362437
CHEMBL4298124,1.0,abstract,1,37004983
CHEMBL3707227,1.0,abstract,1,40735784
CHEMBL939,1.0,abstract,1,39080187
CHEMBL53463,1.0,abstract,1,33300057
CHEMBL384467,1.0,abstract,1,39096204
CHEMBL1311,1.0,abstract,1,39096204
CHEMBL2107834,1.0,abstract,1,36370005
CHEMBL2108738,1.0,abstract,1,33083737
CHEMBL3137309,1.0,abstract,1,39150561
CHEMBL3707227,1.0,abstract,1,41151837
CHEMBL3137343,1.0,abstract,1,39176175
CHEMBL2108738,1.0,abstract,1,39176175
CHEMBL3707227,1.0,abstract,1,41123812
CHEMBL3137343,1.0,abstract,1,41123812
CHEMBL3137343,1.0,abstract,1,36077671
CHEMBL25,1.0,abstract,1,36077671
CHEMBL118,1.0,abstract,1,36077671
CHEMBL4297723,1.0,abstract,1,33634137
CHEMBL3137343,1.0,abstract,1,33634137
CHEMBL3137309,1.0,abstract,1,36477735
CHEMBL3301589,1.0,abstract,1,37994340
CHEMBL3137343,1.0,abstract,1,37994340
CHEMBL4297840,1.0,abstract,1,33044117
CHEMBL150,1.0,abstract,1,36403263
CHEMBL1064,1.0,abstract,1,34572136
CHEMBL503,1.0,abstract,1,34572136
CHEMBL1789844,1.0,abstract,1,34735916
CHEMBL553,1.0,abstract,1,36428475
CHEMBL554,1.0,abstract,1,36428475
CHEMBL4297829,1.0,abstract,1,38964516
CHEMBL1201631,1.0,abstract,1,39275926
CHEMBL4297715,1.0,abstract,1,35727506
CHEMBL1311,1.0,abstract,1,35727506
CHEMBL521686,1.0,abstract,1,36428712
CHEMBL506871,1.0,abstract,1,36428712
