pathway_id,role,target_id
R-HSA-8863795,participant,ERBB2
R-HSA-416572,participant,ERBB2
R-HSA-9927418,participant,ERBB2
R-HSA-9927432,participant,ERBB2
R-HSA-1236394,participant,ERBB3
R-HSA-9665686,participant,ERBB3
R-HSA-9664565,participant,ERBB3
R-HSA-1358803,participant,ERBB3
R-HSA-8943724,participant,EZH2
R-HSA-2559580,participant,EZH2
R-HSA-8953750,participant,EZH2
R-HSA-9764725,participant,EZH2
R-HSA-9935598,participant,F11
R-HSA-9769735,participant,F2
R-HSA-2426168,participant,FDFT1
R-HSA-399956,participant,FES
R-HSA-1433557,participant,FES
R-HSA-372708,participant,FGA
R-HSA-354194,participant,FGA
R-HSA-9769733,participant,FGA
R-HSA-216083,participant,FGA
R-HSA-6802948,participant,FGB
R-HSA-9649948,participant,FGB
R-HSA-5674135,participant,FGB
R-HSA-9656223,participant,FGB
R-HSA-6802952,participant,FGB
R-HSA-354192,participant,FGB
R-HSA-354194,participant,FGB
R-HSA-2023837,participant,FGFR2
R-HSA-2033515,participant,FGFR3
R-HSA-6802948,participant,FGG
R-HSA-9656223,participant,FGG
R-HSA-5205685,participant,PINK1
R-HSA-9614657,participant,PINK1
R-HSA-9764725,participant,PKM
R-HSA-114608,participant,PLG
R-HSA-6814848,participant,PNPLA6
R-HSA-2426168,participant,PPARA
R-HSA-2151201,participant,PPARA
R-HSA-5205685,participant,PRKN
R-HSA-977225,participant,PRKN
R-HSA-5689877,participant,PRKN
R-HSA-191859,participant,PRMT5
R-HSA-419037,participant,PRNP
R-HSA-4641262,participant,PROTO-ONCO
R-HSA-196299,participant,PROTO-ONCO
R-HSA-6798695,participant,PSEN1
R-HSA-2979096,participant,PSEN2
R-HSA-2644606,participant,PSEN2
R-HSA-3928665,participant,PSEN2
R-HSA-9839383,participant,PSEN2
R-HSA-180534,participant,PSMA1
R-HSA-8939236,participant,PSMA1
R-HSA-5610783,participant,PSMA1
R-HSA-5610780,participant,PSMA1
R-HSA-9929491,participant,PSMA1
R-HSA-9931269,participant,PSMA1
R-HSA-9929356,participant,PSMA1
R-HSA-75815,participant,PSMA1
R-HSA-8854050,participant,PSMA1
R-HSA-69017,participant,PSMA1
R-HSA-202424,participant,PSMA1
R-HSA-4641258,participant,PSMA1
R-HSA-4608870,participant,PSMA1
R-HSA-5658442,participant,PSMA1
R-HSA-9018679,participant,PTGS2
R-HSA-9018677,participant,PTGS2
R-HSA-9665686,participant,EGFR
R-HSA-9664565,participant,EGFR
R-HSA-2179392,participant,EGFR
R-HSA-8866910,participant,EGFR
R-HSA-1227986,participant,ERBB2
R-HSA-8866910,participant,ERBB2
R-HSA-9938206,participant,ERBB2
R-HSA-1227986,participant,ERBB3
R-HSA-1257604,participant,ESR2
