association_score,evidence_type,indication_id,source_doc_id,target_id
1.0,clinical_trial_phase4,breast_cancer_female,,BREAST CAN
0.25,clinical_trial_phase1,colorectal_neoplasms,,BREAST CAN
0.7727382344191134,open_targets_genetic_literature,"hypoalphalipoproteinemia,_primary,_2",,APOA1
0.7260990087466148,open_targets_genetic_literature,familial_visceral_amyloidosis,,APOA1
0.75,clinical_trial_phase3,metastatic_breast_cancer,,BREAST CAN
0.7260066137829435,open_targets_genetic_literature,familial_renal_amyloidosis,,APOA1
0.3326218692162316,open_targets_genetic_association,spastic_paraplegia,,APOA1
0.3128080580187383,open_targets_genetic_association,hypercholesterolemia,,APOA1
0.26489397105778045,open_targets_genetic_association,hypertension,,APOA1
0.15982645934111958,open_targets_literature,chronic_kidney_disease,,APOA1
0.0,clinical_trial_phase0,diabetes_melletus,,CA2
0.75,clinical_trial_phase3,microvascular_angina,,CA2
0.75,clinical_trial_phase3,coronary_vasospasm,,CA2
0.75,clinical_trial_phase3,microvascular_ischemia_of_myocardium,,CA2
0.0,clinical_trial_phase0,chronic_kidney_diseases,,CA2
0.25551780907735167,open_targets_affected_pathway,neurodegenerative_disease,,ATXN2
0.4370938969744956,open_targets_genetic_association,cor_pulmonale,,F5
0.5451623259898166,open_targets_clinical,metastatic_colorectal_cancer,,ABL1
0.3335697229071074,open_targets_somatic_mutation,colorectal_adenocarcinoma,,ABL1
0.584711381261442,open_targets_affected_pathway,alzheimer_disease,,HMGCR
0.4619748183558772,open_targets_genetic_literature,heart_septal_defect,,ABL1
0.5084514356428227,open_targets_clinical,follicular_lymphoma,,ABL1
