confidence,context_type,mention_count,paper_id,target_id
1.0,,,41178953,ADRB1
1.0,,,34322993,ADRB1
1.0,,,41664179,ADRB1
1.0,,,37377648,ADRB1
1.0,,,35991671,ADRB1
1.0,,,36302845,ADRB1
1.0,,,33512777,ADRB1
1.0,,,39204424,ADRB1
1.0,,,41672083,ADRB1
1.0,,,41572565,ADRB1
1.0,,,38066059,ADRB1
1.0,,,35659371,ADRB1
1.0,,,38818915,ADRB1
1.0,,,40850534,ADRB1
1.0,,,32089076,ADRB1
1.0,,,38173939,ADRB1
1.0,,,41064320,ADRB1
1.0,,,41553597,ADRB1
1.0,,,36450729,ADRB1
1.0,,,32854260,ADRB1
1.0,,,38769606,ADRB1
1.0,,,36752289,ADRB1
1.0,,,40564042,ADRB1
1.0,,,41639837,ADRB1
1.0,,,41823652,ADRB1
1.0,,,32739739,ADRB1
1.0,,,34722012,ADRB1
1.0,,,39306267,ADRB1
1.0,,,38517943,ADRB1
1.0,,,40487344,ADRB1
1.0,,,41774824,ADRB1
1.0,,,33402011,ADRB1
1.0,,,34829725,ADRB1
1.0,,,41319924,ADRB1
1.0,,,33332989,ADRB1
1.0,,,40254420,ADRB1
1.0,,,34544497,ADRB1
1.0,,,33105324,ADRB1
1.0,,,39974400,ADRB1
1.0,,,32397206,ADRB1
1.0,,,41795784,ADRB1
1.0,,,31940084,ADRB1
1.0,,,36626244,ADRB1
1.0,,,41266267,ADRB1
1.0,,,40466637,ADRB2
1.0,,,39137067,ADRB2
1.0,,,39513738,ADRB2
1.0,,,36289326,ADRB2
1.0,,,38630849,ADRB2
1.0,,,38460364,ADRB2
1.0,,,38951961,ADRB2
1.0,,,40001594,ADRB2
1.0,,,39566608,ADRB2
1.0,,,37869877,ADRB2
1.0,,,39098992,ADRB2
1.0,,,40514069,ADRB2
1.0,,,37490535,ADRB2
1.0,,,37964359,ADRB2
1.0,,,39516484,ADRB2
1.0,,,34288568,ADRB2
1.0,,,33565369,ADRB2
1.0,,,37580554,ADRB2
1.0,,,40924457,ADRB2
1.0,,,35353541,ADRB2
1.0,,,39445009,ADRB2
1.0,,,38057344,ADRB2
1.0,,,37489008,ADRB2
1.0,,,40659887,ADRB2
1.0,,,38051781,ADRB2
1.0,,,39539049,ADRB2
1.0,,,36989842,ADRB2
1.0,,,34783996,ADRB2
1.0,,,37365243,ADRB2
1.0,,,39395798,ADRB2
1.0,,,38668812,ADRB2
1.0,,,40666958,ADRB2
1.0,,,35931084,ADRB2
1.0,,,40311885,ADRB2
1.0,,,32726152,ADRB2
1.0,,,36704754,ADRB2
1.0,,,40121310,ADRB2
1.0,,,38219076,ADRB2
1.0,,,38493021,ADRB2
1.0,,,35258481,ADRB2
1.0,,,37457453,ADRB2
1.0,,,38689092,ADRB2
1.0,,,33494360,ADRB2
1.0,,,36208707,ADRB2
1.0,,,40651298,ADRB2
1.0,,,32801034,ADRB2
1.0,,,36628952,ADRB2
1.0,,,33857344,ADRB2
1.0,,,36729863,ADRB2
1.0,,,37054937,ADRB2
1.0,,,39366923,ADRB2
1.0,,,41476959,ADRB2
1.0,,,38036718,ADRB2
1.0,,,36144682,ADRB2
1.0,,,40549065,ADRB2
1.0,,,40692060,ADRB2
1.0,,,33395026,ADRB2
1.0,,,35163250,ADRB2
1.0,,,39660529,ADRB2
1.0,,,34309518,ADRB2
1.0,,,36914577,ADRB2
1.0,,,36720358,ADRB2
1.0,,,31767622,ADRB2
1.0,,,37595670,ADRB2
1.0,,,35034724,ADRB2
1.0,,,40170395,ADRB2
1.0,,,39722422,ADRB2
1.0,,,32894788,ADRB2
1.0,,,38773844,ADRB2
1.0,,,36012741,ADRB2
1.0,,,36245401,ADRB2
1.0,,,34074703,ADRB2
1.0,,,35795567,ADRB2
1.0,,,39869294,ADRB2
1.0,,,36909162,ADRB2
1.0,,,32170888,ADRB2
1.0,,,31960515,ADRB2
1.0,,,36656428,ADRB2
1.0,,,34853152,ADRB2
1.0,,,41147667,ADRB2
1.0,,,32296761,ADRB2
1.0,,,38838580,ADRB2
1.0,,,39964600,ADRB2
1.0,,,40518527,ADRB2
1.0,,,41279134,ADRB2
1.0,,,37872120,ADRB2
1.0,,,37098022,ADRB2
1.0,,,41361454,ADRB2
1.0,,,37128280,ADRB2
1.0,,,35256673,ADRB2
1.0,,,40564937,ADRB2
1.0,,,41021902,ADRB2
1.0,,,36428611,ADRB2
1.0,,,37213151,ADRB2
1.0,,,31867674,ADRB2
1.0,,,37598871,ADRB2
1.0,,,40957459,ADRB2
1.0,,,39805787,ADRB2
1.0,,,41401081,ADRB2
1.0,,,40465266,ADRB2
1.0,,,41582615,ADRB2
1.0,,,34730627,ADRB2
1.0,,,38518841,ADRB2
1.0,,,41155370,ADRB2
1.0,,,32376022,ADRB2
1.0,,,34555226,ADRB2
1.0,,,41409167,ADRB2
