patent_id,person_id
WO-2025190404-A1,PENG SHAOGANG
WO-2025190404-A1,WANG CHAO
WO-2025190404-A1,LUO YI
WO-2025190404-A1,WANG PING
WO-2025190404-A1,CHEN LIANDI
US-2025289824-A1,RUEHER DANIEL
US-2025289824-A1,NAGEL YVONNE ALICE
US-2025289824-A1,DOLENTE COSIMO
US-2025289824-A1,STEINER SANDRA
US-2025289824-A1,GOERGLER ANNICK
US-2025289824-A1,HEWINGS DAVID
US-2025289824-A1,OBST-SANDER CHRISTA ULRIKE
US-2025289824-A1,JAESCHKE GEORG
US-2025289824-A1,RICCI ANTONIO
US-2025289824-A1,KUHN BERND
WO-2025191459-A1,BAUML JOSHUA
WO-2025191459-A1,SCHUSTER PAMELA
WO-2025191459-A1,ALHADAB ALI
WO-2025191459-A1,KNOBLAUCH ROLAND
WO-2025191459-A1,BAIG MAHADI
WO-2025191459-A1,HADDISH-BERHANE NAHOR
US-2025288515-A1,CASTAGNA MICHAEL
US-2025288515-A1,FREEMAN JR JOHN J
US-2025288515-A1,GRANT MARSHALL L
US-2025288595-A1,SCHOLTE ANDREW
US-2025288595-A1,KOTHE MICHAEL
US-2025288595-A1,METZ MARKUS
US-2025288595-A1,KANE JR JOHN L
US-2025288595-A1,LIU JINYU
US-2025288595-A1,MATTHEWS GLORIA
WO-2025191093-A1,BLAIR CONNOR MACLEOD
WO-2025191093-A1,BAILLIE GEORGE
WO-2025193959-A1,ZARCONE RYAN V
WO-2025193959-A1,BHATNAGAR RAJAT
WO-2025193959-A1,PIPATHSOUK ANNE W
WO-2025193959-A1,RODGERS JOSEPH T
WO-2025193959-A1,MARTINEZ FERNANDO J
WO-2025193959-A1,TSANG SIMON K
US-2025289801-A1,CAMPBELL JOHN EMMERSON
US-2025289801-A1,WILSON DOUGLAS
US-2025289801-A1,BROOIJMANS NATASJA
US-2025289801-A1,KIM JOSEPH L
US-2025289801-A1,WILLIAMS BRETT D
US-2025289801-A1,PEROLA EMANUELE
US-2025289801-A1,DINEEN THOMAS A
US-2025289801-A1,ENO MEREDITH SUZANNE
US-2025289801-A1,DE SAVI CHRISTOPHER
US-2025289801-A1,WILSON KEVIN J
US-2025289801-A1,BRUBAKER JASON D
US-2025289801-A1,ÖZEN AYSEGÜL
WO-2025192799-A1,SHIN HEE JI
WO-2025192799-A1,SHIN DAE HWAN
EP-4615850-A1,ZHAO YIZHOU
EP-4615850-A1,LIU WEI
EP-4615850-A1,WANG ZHIWEI
EP-4615850-A1,LIU HUAQING
EP-4615850-A1,HAN SONGZHE
EP-4615850-A1,LEI BAILIN
EP-4615850-A1,Qi Xinzhu
EP-4615990-A1,HSIEH YIN-CHENG
EP-4615990-A1,HUANG CHEN-PING
EP-4615990-A1,LAI MING-TAIN
EP-4615990-A1,HSIA CHI-SHENG
EP-4615990-A1,FUNG KA-SHU
EP-4615990-A1,HUANG TENG-YI
EP-4615990-A1,CHOU JUN-HONG
EP-4617269-A1,KIM JUNG JOON
EP-4617269-A1,HAM YOUNG JIN
EP-4617269-A1,JANG SUNG WOONG
EP-4617269-A1,CHO JOONG HEUI
EP-4617269-A1,KIM WOO SOOK
EP-4617269-A1,YOON HONG BIN
EP-4617269-A1,KWAK YOUNG SHIN
EP-4616909-A2,MACALLISTER THOMAS
EP-4616909-A2,JACOBSON SVEN
EP-4615879-A2,CAFFARO CAROLINA
EP-4615879-A2,AERNI HANS
EP-4615879-A2,DIRAIMONDO THOMAS R
EP-4615879-A2,CAMPBELL DAVID
EP-4615514-A2,DIRAIMONDO THOMAS R
EP-4615514-A2,CAMPBELL DAVID
US-12415856-B2,LIN CHIA-YANG
US-12415856-B2,YANCOPOULOS GEORGE D
US-12415856-B2,HABER LAURIC
US-12415856-B2,SKOKOS DIMITRIS
US-12415856-B2,MURPHY ANDREW J
US-12415788-B2,BASU KAUSTABH
US-12415788-B2,GLENN JEFFREY S
US-12415788-B2,STABLER STEPHEN
US-12415788-B2,SMITH MARK
US-12415788-B2,PHAM EDWARD A
WO-2025186565-A1,BELFIELD ANDREW
WO-2025188669-A1,SMEAL TOD
WO-2025188669-A1,ERLANDER MARK
WO-2025188669-A1,RIDINGER MAYA
WO-2025185733-A1,OU YANKUI
WO-2025185733-A1,SAHIN UGUR
WO-2025185733-A1,LI NA
WO-2025185733-A1,DONG JIE
WO-2025185733-A1,LIU JING
WO-2025185733-A1,HU GUOQIANG
WO-2025185733-A1,ZHANG JUAN
WO-2025189072-A1,WERNER MILTON
WO-2025189072-A1,KELLY TERENCE
WO-2025188239-A1,HONG WANJIN
WO-2025188239-A1,KUMAR RAMESH
WO-2025185643-A1,LIANG APENG
WO-2025185643-A1,LIU GUANGBIN
WO-2025185643-A1,WU YUSHENG
WO-2025185643-A1,WANG KAI
WO-2025185643-A1,ZHU JIAN
WO-2025185643-A1,LI JUN
WO-2025185643-A1,CHEN SHAOQING
WO-2025185643-A1,LI MEIHUA
WO-2025185643-A1,LONG YI
WO-2025185682-A1,SONG LIPING
WO-2025185682-A1,CHEN QIWEN
WO-2025185682-A1,ZHANG CHUNQING
WO-2025185682-A1,YANG XIUGAO
WO-2025185682-A1,WANG MINGXIAO
WO-2025185682-A1,Hao jinheng
WO-2025185682-A1,YANG YANG
WO-2025185682-A1,Su yangzhi
WO-2025185682-A1,WAN XUECHAO
US-2025282797-A1,ZHANG HANCHENG
US-2025282797-A1,YAO LEI
US-2025282797-A1,ZHANG DANDAN
US-2025282797-A1,LIANG XINLEI
US-2025282797-A1,LI YUQIN
US-2025282797-A1,YANG MIN
US-2025282797-A1,PENG XIAOSHI
US-2025282797-A1,YE XIANGYANG
US-2025282797-A1,YAN CUIQIN
US-2025281493-A1,BRICHTA LARS
US-2025281461-A1,BRYLINSKI MICHAL
US-2025281461-A1,ADER ALLAN
US-2025281461-A1,CORMIER STEPHANIA
US-2025281461-A1,WASAN KISHOR M
US-2025281461-A1,MUKHOPADHYAY SUPRATIK
US-2025281461-A1,ABRAMOV JULIA
US-2025281461-A1,BESS ADAM
US-2025281461-A1,HNIK PETER
US-2025281461-A1,GALLIANO CHRIS
US-2025281461-A1,GOULD JANET
US-2025281461-A1,GRIGGS NICHOLAS
US-2025281461-A1,CHO TIFFANY
US-2025281461-A1,BERGLIND FREJ KNUT GOSTA
US-2025282892-A1,LARBOURET CHRISTEL
US-2025282892-A1,GERARD PIERRE-EMMANUEL
US-2025282892-A1,RABIA EMILIA
US-2025282892-A1,PELEGRIN ANDRÉ
US-2025282892-A1,ZHUKOVSKY EUGENE
US-2025282892-A1,CHARDÈS THIERRY
US-2025281506-A1,DU XIN
US-2025281506-A1,HU TAO
US-2025281506-A1,DU TAO TOM
US-2025281506-A1,ZHANG YUQIAN
US-2025282767-A1,BJERGARDE KIRSTEN
US-2025282795-A1,SAVCHUK NIKOLAY
US-2025282795-A1,IVACHTCHENKO ALEXANDRE VASILIEVICH
US-2025282795-A1,KHVAT ALEXANDER
US-2025282795-A1,VASILEVICH NATALIA I
US-2025282795-A1,ABAGYAN RUBEN
US-2025282761-A1,PANDEY ANJALI
US-2025282761-A1,GRUFF ERIC
US-2025282761-A1,SHAH HARSH
US-2025282761-A1,XIE TIAN
US-2025282761-A1,Kuang Shanming
EP-4612148-A1,AL-KHAWALDEH ISLAM H
EP-4612148-A1,HERBERT JACK T
EP-4612148-A1,STEWART HANNAH L
EP-4612148-A1,LIEBESCHUETZ JOHN WALTER
EP-4612148-A1,ST DENIS JEFFREY DAVID
EP-4612148-A1,HOWARD STEVEN
EP-4612148-A1,TWIGG DAVID GEOFFREY
EP-4612148-A1,WARING MICHAEL J
EP-4612148-A1,MARTIN MATHEW P
EP-4611820-A1,STROP PETER
EP-4611820-A1,VRLJIC MARIJA
EP-4611820-A1,DAINO-LAIZURE HANAKO
EP-4611820-A1,WONG JANICA CHEUK-YING
EP-4611820-A1,PONS JAUME
EP-4612147-A1,PARK BYUNGWOO
EP-4612147-A1,LEE YOUNHO
EP-4612147-A1,KIM DAEKWON
EP-4611753-A1,LEBEDINSKY CLAUDIA A
EP-4611753-A1,MEI JIAN
EP-4611753-A1,WHATCOTT CLIFFORD J
EP-4611753-A1,KABIR SUJAN
EP-4611753-A1,BROOKS EMILY M
EP-4611753-A1,FOULKS JASON M
EP-4611753-A1,WADE MARK L
EP-4613333-A2,HIDBER PIRMIN
EP-4613333-A2,PEPELNJAK MARIE
EP-4613333-A2,YOST EDWARD
EP-4613333-A2,REENTS REINHARD
EP-4613333-A2,HELL ANDRÉ
EP-4613333-A2,GOSSELIN FRANCIS
EP-4613333-A2,WUNDERLICH MARTIN
EP-4613333-A2,STEIDLE PETER
EP-4611752-A1,BIAN ZHEN
EP-4611752-A1,STYLLI HARRY
EP-4611752-A1,SHI LEI
EP-4611752-A1,LIU YUAN
EP-4611902-A1,JUNTTILA MELISSA R
EP-4611902-A1,AL-SAYAH MOHAMMAD
EP-4611902-A1,ZAVOROTINSKAYA TATIANA
EP-4611902-A1,PATEL RUPAL
EP-4611902-A1,CHANG JAE HYUK
EP-4611902-A1,MILBURN ROBERT RONALD
EP-4611902-A1,KUMAR ARCHANA
